province,phufull,season,year,week,day,date,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,Total Flu A Positive,Total Flu B Positive,Total Flu Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,Adeno Test,Adeno Positive,HMPV Test,HMPV Positive,Rhino Test,Rhino Positive,Coron Test,Coron Positive,A(UnS) Positive,Entero/Rhino Test,Entero/Rhino Positive,HCOV Test,HCOV Positive,SARS-CoV-2 Test,SARS-CoV-2 Positive,ADV Test,ADV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta,Alberta,2020-2021,2021,18,6.0,2021-05-08,2396.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0,577.0,0.0,0.0,0.0,1.0,0.0,577.0,6.0,577.0,0.0,,,577.0,2.0,0.0,577.0,65.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2020-2021,2021,15,6.0,2021-04-17,2683.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,632.0,0.0,0.0,0.0,1.0,0.0,632.0,0.0,632.0,0.0,,,632.0,0.0,0.0,632.0,46.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2014,53,6.0,2015-01-03,1515.0,0.0,425.0,546.0,37.0,583.0,1515.0,137.0,1515.0,34.0,0.0,0.0,0.0,0.0,1515.0,10.0,1515.0,3.0,1515.0,41.0,1515.0,28.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2020,50,6.0,2020-12-12,4601.0,0.0,0.0,0.0,0.0,0.0,1813.0,0.0,1813.0,0.0,1.0,0.0,0.0,0.0,1813.0,3.0,1813.0,0.0,,,1813.0,1.0,0.0,1813.0,98.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2022-2023,2022,43,6.0,2022-10-29,2535.0,9.0,164.0,211.0,0.0,211.0,2171.0,57.0,1065.0,11.0,2.0,18.0,0.0,0.0,1065.0,14.0,1062.0,2.0,,,,,38.0,1051.0,120.0,1065.0,53.0,0.0,0.0,,,,,,
Alberta,Alberta,2020-2021,2020,53,6.0,2021-01-02,2705.0,1.0,0.0,1.0,0.0,1.0,830.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,830.0,4.0,830.0,0.0,,,830.0,0.0,0.0,830.0,27.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2020-2021,2021,5,6.0,2021-02-06,2273.0,0.0,0.0,0.0,0.0,0.0,712.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,712.0,3.0,712.0,0.0,,,712.0,0.0,0.0,712.0,42.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,2,6.0,2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,12,6.0,2021-03-27,2449.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,491.0,3.0,491.0,0.0,,,491.0,1.0,0.0,491.0,45.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2014,35,6.0,2014-08-30,234.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,234.0,3.0,0.0,0.0,0.0,0.0,234.0,3.0,234.0,0.0,234.0,72.0,234.0,2.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,11,6.0,2021-03-20,2249.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,533.0,1.0,533.0,0.0,,,533.0,0.0,0.0,533.0,58.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,26,6.0,2015-06-27,239.0,0.0,1.0,1.0,0.0,1.0,239.0,1.0,239.0,15.0,0.0,0.0,0.0,0.0,239.0,7.0,239.0,2.0,239.0,42.0,239.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,18,6.0,2020-05-02,5411.0,0.0,0.0,0.0,1.0,1.0,5409.0,0.0,5409.0,2.0,1.0,1.0,3.0,0.0,5409.0,49.0,5409.0,11.0,,,5409.0,27.0,0.0,5409.0,112.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,24,6.0,2020-06-13,3610.0,0.0,0.0,0.0,0.0,0.0,3609.0,0.0,3609.0,0.0,0.0,0.0,0.0,0.0,3609.0,8.0,3609.0,1.0,,,3609.0,1.0,0.0,3609.0,77.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,19,6.0,2020-05-09,5080.0,0.0,0.0,0.0,0.0,0.0,5080.0,0.0,5080.0,2.0,2.0,1.0,1.0,0.0,5080.0,30.0,5080.0,4.0,,,5080.0,10.0,0.0,5080.0,105.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,20,6.0,2020-05-16,5385.0,0.0,0.0,0.0,3.0,3.0,5385.0,0.0,5385.0,1.0,0.0,0.0,1.0,0.0,5385.0,34.0,5385.0,3.0,,,5385.0,3.0,0.0,5385.0,85.0,,,,,,,,,,
